Site,Date,Variable,Direction,Qualifier,Value,Unit,Comment
Dierbach up,26/03/2018,land use: Forest,R,,100,%,
Dierbach up,26/03/2018,land use: Fallow,R,,NA,%,
Dierbach up,26/03/2018,land use: Meadows & Pastures,R,,NA,%,
Dierbach up,26/03/2018,land use: Agriculture,R,,NA,%,
Dierbach up,26/03/2018,land use: Housing,R,,NA,%,
Dierbach up,26/03/2018,land use: Other,R,,NA,%,
Dierbach up,26/03/2018,Shading Elements (southwards),,,85,%,
Dierbach up,26/03/2018,Flooding of shore,,,yes,,
Dierbach up,26/03/2018,Islands/Banks,,,several,,maybe due to low water
Dierbach down,26/03/2018,distance housing,L,,1500,m,
Dierbach down,26/03/2018,distance housing,R,,NA,m,
Dierbach down,26/03/2018,distance street,L,,NA,m,
Dierbach down,26/03/2018,distance street,R,,700,m,
Dierbach down,26/03/2018,height landscape-level,L,,1.1,m,
Dierbach down,26/03/2018,height landscape-level,R,,1,m,
Dierbach down,26/03/2018,distance landscape-level,L,,0.6,m,
Dierbach down,26/03/2018,distance landscape-level,R,,1.1,m,
Dierbach down,26/03/2018,Distance field,L,,10,m,
Dierbach down,26/03/2018,Distance field,R,,40,m,
Dierbach down,26/03/2018,curvature,,,6,,
Dierbach down,26/03/2018,Banks,,,two,,
Dierbach down,26/03/2018,shore vegetation cover: Forest,L,,NA,%,
Dierbach down,26/03/2018,shore vegetation cover: Reed,L,,80,%,
Dierbach down,26/03/2018,shore vegetation cover: Shrubbery,L,,20,%,
Dierbach down,26/03/2018,shore vegetation cover: Tall Forbs,L,,NA,%,
Dierbach down,26/03/2018,shore vegetation cover: Meadow,L,,NA,%,
Dierbach down,26/03/2018,shore vegetation cover:  Vegetation Free,L,,NA,%,
Dierbach down,26/03/2018,shore vegetation cover:  Agriculture,L,,NA,%,
Dierbach down,26/03/2018,shore vegetation height: Forest,L,,NA,m,
Dierbach down,26/03/2018,shore vegetation height: Reed,L,,2,m,
Dierbach down,26/03/2018,shore vegetation height: Shrubbery,L,,1,m,
Dierbach down,26/03/2018,shore vegetation height: Tall Forbs,L,,NA,m,
Dierbach down,26/03/2018,shore vegetation height:  Meadow,L,,NA,m,
Dierbach down,26/03/2018,shore vegetation height:  Agriculture,L,,NA,m,
Dierbach down,26/03/2018,shore vegetation cover: Forest,R,,NA,%,
Dierbach down,26/03/2018,shore vegetation cover: Reed,R,,NA,%,
Dierbach down,26/03/2018,shore vegetation cover: Shrubbery,R,,80,%,
Dierbach down,26/03/2018,shore vegetation cover: Tall Forbs,R,,20,%,
Dierbach down,26/03/2018,shore vegetation cover: Meadow,R,,NA,%,
Dierbach down,26/03/2018,shore vegetation cover:  Vegetation Free,R,,NA,%,
Dierbach down,26/03/2018,shore vegetation cover:  Agriculture,R,,NA,%,
Dierbach down,26/03/2018,shore vegetation height: Forest,R,,NA,m,
Dierbach down,26/03/2018,shore vegetation height: Reed,R,,NA,m,
Dierbach down,26/03/2018,shore vegetation height: Shrubbery,R,,4,m,
Dierbach down,26/03/2018,shore vegetation height: Tall Forbs,R,,1,m,
Dierbach down,26/03/2018,shore vegetation height:  Meadow,R,,NA,m,
Dierbach down,26/03/2018,shore vegetation height:  Agriculture,R,,NA,m,
Dierbach down,26/03/2018,land use: Forest,L,,NA,%,
Dierbach down,26/03/2018,land use: Fallow,L,,10,%,
Dierbach down,26/03/2018,land use: Meadows & Pastures,L,,10,%,
Dierbach down,26/03/2018,land use: Agriculture,L,,80,%,former corn not yet plowed
Dierbach down,26/03/2018,land use: Housing,L,,NA,%,
Dierbach down,26/03/2018,land use: Other,L,,NA,%,
Dierbach down,26/03/2018,land use: Forest,R,,5,%,
Dierbach down,26/03/2018,land use: Fallow,R,,NA,%,
Dierbach down,26/03/2018,land use: Meadows & Pastures,R,,30,%,
Dierbach down,26/03/2018,land use: Agriculture,R,,65,%,fruit
Dierbach down,26/03/2018,land use: Housing,R,,NA,%,
Dierbach down,26/03/2018,land use: Other,R,,NA,%,
Dierbach down,26/03/2018,Shading Elements (southwards),,,50,%,
Dierbach down,26/03/2018,Flooding of shore,,,no,,
Dierbach down,26/03/2018,Islands/Banks,,,no,,
Klingbach up,26/03/2018,distance housing,L,,NA,m,
Klingbach up,26/03/2018,distance housing,R,,NA,m,
Klingbach up,26/03/2018,distance street,L,,400,m,
Klingbach up,26/03/2018,distance street,R,,NA,m,
Klingbach up,26/03/2018,height landscape-level,L,,0.7,m,
Klingbach up,26/03/2018,height landscape-level,R,,0.5,m,
Klingbach up,26/03/2018,distance landscape-level,L,,0.8,m,
Klingbach up,26/03/2018,distance landscape-level,R,,1,m,
Klingbach up,26/03/2018,Distance field,L,,NA,m,
Klingbach up,26/03/2018,Distance field,R,,NA,m,
Klingbach up,26/03/2018,curvature,,,3,,
Klingbach up,26/03/2018,Banks,,,several,,Uferbänke
Klingbach up,26/03/2018,shore vegetation cover: Forest,L,,100,%,
Klingbach up,26/03/2018,shore vegetation cover: Reed,L,,NA,%,
Klingbach up,26/03/2018,shore vegetation cover: Shrubbery,L,,NA,%,
Klingbach up,26/03/2018,shore vegetation cover: Tall Forbs,L,,NA,%,
Klingbach up,26/03/2018,shore vegetation cover: Meadow,L,,NA,%,
Klingbach up,26/03/2018,shore vegetation cover:  Vegetation Free,L,,NA,%,
Klingbach up,26/03/2018,shore vegetation cover:  Agriculture,L,,NA,%,
Klingbach up,26/03/2018,shore vegetation height: Forest,L,,15,m,
Klingbach up,26/03/2018,shore vegetation height: Reed,L,,NA,m,
Klingbach up,26/03/2018,shore vegetation height: Shrubbery,L,,NA,m,
Klingbach up,26/03/2018,shore vegetation height: Tall Forbs,L,,NA,m,
Klingbach up,26/03/2018,shore vegetation height:  Meadow,L,,NA,m,
Klingbach up,26/03/2018,shore vegetation height:  Agriculture,L,,NA,m,
Klingbach up,26/03/2018,shore vegetation cover: Forest,R,,100,%,
Klingbach up,26/03/2018,shore vegetation cover: Reed,R,,NA,%,
Klingbach up,26/03/2018,shore vegetation cover: Shrubbery,R,,NA,%,
Klingbach up,26/03/2018,shore vegetation cover: Tall Forbs,R,,NA,%,
Klingbach up,26/03/2018,shore vegetation cover: Meadow,R,,NA,%,
Klingbach up,26/03/2018,shore vegetation cover:  Vegetation Free,R,,NA,%,
Klingbach up,26/03/2018,shore vegetation cover:  Agriculture,R,,NA,%,
Klingbach up,26/03/2018,shore vegetation height: Forest,R,,15,m,
Klingbach up,26/03/2018,shore vegetation height: Reed,R,,NA,m,
Klingbach up,26/03/2018,shore vegetation height: Shrubbery,R,,NA,m,
Klingbach up,26/03/2018,shore vegetation height: Tall Forbs,R,,NA,m,
Klingbach up,26/03/2018,shore vegetation height:  Meadow,R,,NA,m,
Klingbach up,26/03/2018,shore vegetation height:  Agriculture,R,,NA,m,
Klingbach up,26/03/2018,land use: Forest,L,,100,%,
Klingbach up,26/03/2018,land use: Fallow,L,,NA,%,
Klingbach up,26/03/2018,land use: Meadows & Pastures,L,,NA,%,
Klingbach up,26/03/2018,land use: Agriculture,L,,NA,%,
Klingbach up,26/03/2018,land use: Housing,L,,NA,%,
Klingbach up,26/03/2018,land use: Other,L,,NA,%,
Klingbach up,26/03/2018,land use: Forest,R,,100,%,
Klingbach up,26/03/2018,land use: Fallow,R,,NA,%,
Klingbach up,26/03/2018,land use: Meadows & Pastures,R,,NA,%,
Klingbach up,26/03/2018,land use: Agriculture,R,,NA,%,
Klingbach up,26/03/2018,land use: Housing,R,,NA,%,
Klingbach up,26/03/2018,land use: Other,R,,NA,%,street (lower than 5%)
Klingbach up,26/03/2018,Shading Elements (southwards),,,70,%,
Klingbach up,26/03/2018,Flooding of shore,,,yes,,
Klingbach up,26/03/2018,Islands/Banks,,,one,,islands
Klingbach down,26/03/2018,distance housing,L,,300,m,
Klingbach down,26/03/2018,distance housing,R,,200,m,
Klingbach down,26/03/2018,distance street,L,,500,m,
Klingbach down,26/03/2018,distance street,R,,150,m,
Klingbach down,26/03/2018,height landscape-level,L,,0.5,m,
Klingbach down,26/03/2018,height landscape-level,R,,0.6,m,
Klingbach down,26/03/2018,distance landscape-level,L,,0.5,m,
Klingbach down,26/03/2018,distance landscape-level,R,,0.5,m,
Klingbach down,26/03/2018,Distance field,L,,50,m,
Klingbach down,26/03/2018,Distance field,R,,150,m,
Klingbach down,26/03/2018,curvature,,,6,,
Klingbach down,26/03/2018,Banks,,,one,,Uferbänke
Klingbach down,26/03/2018,shore vegetation cover: Forest,L,,NA,%,
Klingbach down,26/03/2018,shore vegetation cover: Reed,L,,NA,%,
Klingbach down,26/03/2018,shore vegetation cover: Shrubbery,L,,20,%,
Klingbach down,26/03/2018,shore vegetation cover: Tall Forbs,L,,NA,%,
Klingbach down,26/03/2018,shore vegetation cover: Meadow,L,,80,%,
Klingbach down,26/03/2018,shore vegetation cover:  Vegetation Free,L,,NA,%,
Klingbach down,26/03/2018,shore vegetation cover:  Agriculture,L,,NA,%,
Klingbach down,26/03/2018,shore vegetation height: Forest,L,,NA,m,
Klingbach down,26/03/2018,shore vegetation height: Reed,L,,NA,m,
Klingbach down,26/03/2018,shore vegetation height: Shrubbery,L,,0.6,m,
Klingbach down,26/03/2018,shore vegetation height: Tall Forbs,L,,NA,m,
Klingbach down,26/03/2018,shore vegetation height:  Meadow,L,,0.1,m,
Klingbach down,26/03/2018,shore vegetation height:  Agriculture,L,,NA,m,
Klingbach down,26/03/2018,shore vegetation cover: Forest,R,,NA,%,
Klingbach down,26/03/2018,shore vegetation cover: Reed,R,,NA,%,
Klingbach down,26/03/2018,shore vegetation cover: Shrubbery,R,,40,%,
Klingbach down,26/03/2018,shore vegetation cover: Tall Forbs,R,,NA,%,
Klingbach down,26/03/2018,shore vegetation cover: Meadow,R,,60,%,
Klingbach down,26/03/2018,shore vegetation cover:  Vegetation Free,R,,NA,%,
Klingbach down,26/03/2018,shore vegetation cover:  Agriculture,R,,NA,%,
Klingbach down,26/03/2018,shore vegetation height: Forest,R,,NA,m,
Klingbach down,26/03/2018,shore vegetation height: Reed,R,,NA,m,
Klingbach down,26/03/2018,shore vegetation height: Shrubbery,R,,0.6,m,
Klingbach down,26/03/2018,shore vegetation height: Tall Forbs,R,,NA,m,
Klingbach down,26/03/2018,shore vegetation height:  Meadow,R,,0.1,m,
Klingbach down,26/03/2018,shore vegetation height:  Agriculture,R,,NA,m,
Klingbach down,26/03/2018,land use: Forest,L,,NA,%,
Klingbach down,26/03/2018,land use: Fallow,L,,NA,%,
Klingbach down,26/03/2018,land use: Meadows & Pastures,L,,60,%,
Klingbach down,26/03/2018,land use: Agriculture,L,,40,%,"50% not plowed, 50% vine"
Klingbach down,26/03/2018,land use: Housing,L,,NA,%,
Klingbach down,26/03/2018,land use: Other,L,,NA,%,
Klingbach down,26/03/2018,land use: Forest,R,,NA,%,
Klingbach down,26/03/2018,land use: Fallow,R,,NA,%,
Klingbach down,26/03/2018,land use: Meadows & Pastures,R,,40,%,
Klingbach down,26/03/2018,land use: Agriculture,R,,45,%,"fruit trees, only plowed"
Klingbach down,26/03/2018,land use: Housing,R,,15,%,
Klingbach down,26/03/2018,land use: Other,R,,NA,%,
Klingbach down,26/03/2018,Shading Elements (southwards),,,30,%,
Klingbach down,26/03/2018,Flooding of shore,,,no,,
Klingbach down,26/03/2018,Islands/Banks,,,no,,
Kaiserbach up,26/03/2018,distance housing,L,,NA,m,
Kaiserbach up,26/03/2018,distance housing,R,,NA,m,
Kaiserbach up,26/03/2018,distance street,L,,250,m,
Kaiserbach up,26/03/2018,distance street,R,,NA,m,
Kaiserbach up,26/03/2018,height landscape-level,L,,1.5,m,
Kaiserbach up,26/03/2018,height landscape-level,R,,1.8,m,
Kaiserbach up,26/03/2018,distance landscape-level,L,,1.5,m,
Kaiserbach up,26/03/2018,distance landscape-level,R,,1.2,m,
Kaiserbach up,26/03/2018,Distance field,L,,NA,m,
Kaiserbach up,26/03/2018,Distance field,R,,NA,m,
Kaiserbach up,26/03/2018,curvature,,,4,,
Kaiserbach up,26/03/2018,Banks,,,several,,"Uferbänke, Krümmungsbänke"
Kaiserbach up,26/03/2018,shore vegetation cover: Forest,L,,35,%,
Kaiserbach up,26/03/2018,shore vegetation cover: Reed,L,,65,%,
Kaiserbach up,26/03/2018,shore vegetation cover: Shrubbery,L,,NA,%,
Kaiserbach up,26/03/2018,shore vegetation cover: Tall Forbs,L,,NA,%,
Kaiserbach up,26/03/2018,shore vegetation cover: Meadow,L,,NA,%,
Kaiserbach up,26/03/2018,shore vegetation cover:  Vegetation Free,L,,NA,%,
Kaiserbach up,26/03/2018,shore vegetation cover:  Agriculture,L,,NA,%,
Kaiserbach up,26/03/2018,shore vegetation height: Forest,L,,10,m,
Kaiserbach up,26/03/2018,shore vegetation height: Reed,L,,2,m,
Kaiserbach up,26/03/2018,shore vegetation height: Shrubbery,L,,NA,m,
Kaiserbach up,26/03/2018,shore vegetation height: Tall Forbs,L,,NA,m,
Kaiserbach up,26/03/2018,shore vegetation height:  Meadow,L,,NA,m,
Kaiserbach up,26/03/2018,shore vegetation height:  Agriculture,L,,NA,m,
Kaiserbach up,26/03/2018,shore vegetation cover: Forest,R,,20,%,
Kaiserbach up,26/03/2018,shore vegetation cover: Reed,R,,80,%,
Kaiserbach up,26/03/2018,shore vegetation cover: Shrubbery,R,,NA,%,
Kaiserbach up,26/03/2018,shore vegetation cover: Tall Forbs,R,,NA,%,
Kaiserbach up,26/03/2018,shore vegetation cover: Meadow,R,,NA,%,
Kaiserbach up,26/03/2018,shore vegetation cover:  Vegetation Free,R,,NA,%,
Kaiserbach up,26/03/2018,shore vegetation cover:  Agriculture,R,,NA,%,
Kaiserbach up,26/03/2018,shore vegetation height: Forest,R,,15,m,
Kaiserbach up,26/03/2018,shore vegetation height: Reed,R,,2,m,
Kaiserbach up,26/03/2018,shore vegetation height: Shrubbery,R,,NA,m,
Kaiserbach up,26/03/2018,shore vegetation height: Tall Forbs,R,,NA,m,
Kaiserbach up,26/03/2018,shore vegetation height:  Meadow,R,,NA,m,
Kaiserbach up,26/03/2018,shore vegetation height:  Agriculture,R,,NA,m,
Kaiserbach up,26/03/2018,land use: Forest,L,,20,%,
Kaiserbach up,26/03/2018,land use: Fallow,L,,NA,%,
Kaiserbach up,26/03/2018,land use: Meadows & Pastures,L,,50,%,
Kaiserbach up,26/03/2018,land use: Agriculture,L,,NA,%,
Kaiserbach up,26/03/2018,land use: Housing,L,,NA,%,
Kaiserbach up,26/03/2018,land use: Other,L,,30,%,reed
Kaiserbach up,26/03/2018,land use: Forest,R,,100,%,
Kaiserbach up,26/03/2018,land use: Fallow,R,,NA,%,
Kaiserbach up,26/03/2018,land use: Meadows & Pastures,R,,NA,%,
Kaiserbach up,26/03/2018,land use: Agriculture,R,,NA,%,
Kaiserbach up,26/03/2018,land use: Housing,R,,NA,%,
Kaiserbach up,26/03/2018,land use: Other,R,,NA,%,
Kaiserbach up,26/03/2018,Shading Elements (southwards),,,60,%,
Kaiserbach up,26/03/2018,Flooding of shore,,,yes,,
Kaiserbach up,26/03/2018,Islands/Banks,,,no,,
Kaiserbach down,26/03/2018,distance housing,L,,NA,m,
Kaiserbach down,26/03/2018,distance housing,R,,NA,m,
Kaiserbach down,26/03/2018,distance street,L,,NA,m,
Kaiserbach down,26/03/2018,distance street,R,,20,m,
Kaiserbach down,26/03/2018,height landscape-level,L,,1.9,m,
Kaiserbach down,26/03/2018,height landscape-level,R,,2,m,
Kaiserbach down,26/03/2018,distance landscape-level,L,,1,m,
Kaiserbach down,26/03/2018,distance landscape-level,R,,1.5,m,
Kaiserbach down,26/03/2018,Distance field,L,,8,m,
Kaiserbach down,26/03/2018,Distance field,R,,6,m,
Kaiserbach down,26/03/2018,curvature,,,5,,
Kaiserbach down,26/03/2018,Banks,,,two,,Krümmungsbänke/Prellbänke
Kaiserbach down,26/03/2018,shore vegetation cover: Forest,L,,NA,%,
Kaiserbach down,26/03/2018,shore vegetation cover: Reed,L,,NA,%,
Kaiserbach down,26/03/2018,shore vegetation cover: Shrubbery,L,,NA,%,
Kaiserbach down,26/03/2018,shore vegetation cover: Tall Forbs,L,,20,%,
Kaiserbach down,26/03/2018,shore vegetation cover: Meadow,L,,60,%,
Kaiserbach down,26/03/2018,shore vegetation cover:  Vegetation Free,L,,20,%,
Kaiserbach down,26/03/2018,shore vegetation cover:  Agriculture,L,,NA,%,
Kaiserbach down,26/03/2018,shore vegetation height: Forest,L,,NA,m,
Kaiserbach down,26/03/2018,shore vegetation height: Reed,L,,NA,m,
Kaiserbach down,26/03/2018,shore vegetation height: Shrubbery,L,,NA,m,
Kaiserbach down,26/03/2018,shore vegetation height: Tall Forbs,L,,0.7,m,
Kaiserbach down,26/03/2018,shore vegetation height:  Meadow,L,,0.2,m,
Kaiserbach down,26/03/2018,shore vegetation height:  Agriculture,L,,NA,m,
Kaiserbach down,26/03/2018,shore vegetation cover: Forest,R,,20,%,
Kaiserbach down,26/03/2018,shore vegetation cover: Reed,R,,NA,%,
Kaiserbach down,26/03/2018,shore vegetation cover: Shrubbery,R,,10,%,
Kaiserbach down,26/03/2018,shore vegetation cover: Tall Forbs,R,,NA,%,
Kaiserbach down,26/03/2018,shore vegetation cover: Meadow,R,,50,%,
Kaiserbach down,26/03/2018,shore vegetation cover:  Vegetation Free,R,,20,%,
Kaiserbach down,26/03/2018,shore vegetation cover:  Agriculture,R,,NA,%,
Kaiserbach down,26/03/2018,shore vegetation height: Forest,R,,10,m,
Kaiserbach down,26/03/2018,shore vegetation height: Reed,R,,NA,m,
Kaiserbach down,26/03/2018,shore vegetation height: Shrubbery,R,,1,m,
Kaiserbach down,26/03/2018,shore vegetation height: Tall Forbs,R,,NA,m,
Kaiserbach down,26/03/2018,shore vegetation height:  Meadow,R,,0.2,m,
Kaiserbach down,26/03/2018,shore vegetation height:  Agriculture,R,,NA,m,
Kaiserbach down,26/03/2018,land use: Forest,L,,NA,%,
Kaiserbach down,26/03/2018,land use: Fallow,L,,NA,%,
Kaiserbach down,26/03/2018,land use: Meadows & Pastures,L,,30,%,
Kaiserbach down,26/03/2018,land use: Agriculture,L,,70,%,"orchards, vine"
Kaiserbach down,26/03/2018,land use: Housing,L,,NA,%,
Kaiserbach down,26/03/2018,land use: Other,L,,NA,%,
Kaiserbach down,26/03/2018,land use: Forest,R,,5,%,
Kaiserbach down,26/03/2018,land use: Fallow,R,,NA,%,
Kaiserbach down,26/03/2018,land use: Meadows & Pastures,R,,10,%,
Kaiserbach down,26/03/2018,land use: Agriculture,R,,85,%,"orchards, field"
Kaiserbach down,26/03/2018,land use: Housing,R,,NA,%,
Kaiserbach down,26/03/2018,land use: Other,R,,NA,%,
Kaiserbach down,26/03/2018,Shading Elements (southwards),,,30,%,
Kaiserbach down,26/03/2018,Flooding of shore,,,no,,
Kaiserbach down,26/03/2018,Islands/Banks,,,no,,
Isenach up,27/03/2018,distance housing,L,,400,m,
Isenach up,27/03/2018,distance housing,R,,NA,m,
Isenach up,27/03/2018,distance street,L,,10,m,
Isenach up,27/03/2018,distance street,R,,6,m,small forest
Isenach up,27/03/2018,height landscape-level,L,,2,m,
Isenach up,27/03/2018,height landscape-level,R,,5,m,
Isenach up,27/03/2018,distance landscape-level,L,,10,m,
Isenach up,27/03/2018,distance landscape-level,R,,6,m,
Isenach up,27/03/2018,Distance field,L,,NA,m,
Isenach up,27/03/2018,Distance field,R,,NA,m,
Isenach up,27/03/2018,curvature,,,4,,
Isenach up,27/03/2018,Banks,,,rudiments,,Uferbänke
Isenach up,27/03/2018,shore vegetation cover: Forest,L,,100,%,
Isenach up,27/03/2018,shore vegetation cover: Reed,L,,NA,%,
Isenach up,27/03/2018,shore vegetation cover: Shrubbery,L,,NA,%,
Isenach up,27/03/2018,shore vegetation cover: Tall Forbs,L,,NA,%,
Isenach up,27/03/2018,shore vegetation cover: Meadow,L,,NA,%,
Isenach up,27/03/2018,shore vegetation cover:  Vegetation Free,L,,NA,%,
Isenach up,27/03/2018,shore vegetation cover:  Agriculture,L,,NA,%,
Isenach up,27/03/2018,shore vegetation height: Forest,L,,10,m,
Isenach up,27/03/2018,shore vegetation height: Reed,L,,NA,m,
Isenach up,27/03/2018,shore vegetation height: Shrubbery,L,,NA,m,
Isenach up,27/03/2018,shore vegetation height: Tall Forbs,L,,NA,m,
Isenach up,27/03/2018,shore vegetation height:  Meadow,L,,NA,m,
Isenach up,27/03/2018,shore vegetation height:  Agriculture,L,,NA,m,
Isenach up,27/03/2018,shore vegetation cover: Forest,R,,100,%,
Isenach up,27/03/2018,shore vegetation cover: Reed,R,,NA,%,
Isenach up,27/03/2018,shore vegetation cover: Shrubbery,R,,NA,%,
Isenach up,27/03/2018,shore vegetation cover: Tall Forbs,R,,NA,%,
Isenach up,27/03/2018,shore vegetation cover: Meadow,R,,NA,%,
Isenach up,27/03/2018,shore vegetation cover:  Vegetation Free,R,,NA,%,
Isenach up,27/03/2018,shore vegetation cover:  Agriculture,R,,NA,%,
Isenach up,27/03/2018,shore vegetation height: Forest,R,,10,m,
Isenach up,27/03/2018,shore vegetation height: Reed,R,,NA,m,
Isenach up,27/03/2018,shore vegetation height: Shrubbery,R,,NA,m,
Isenach up,27/03/2018,shore vegetation height: Tall Forbs,R,,NA,m,
Isenach up,27/03/2018,shore vegetation height:  Meadow,R,,NA,m,
Isenach up,27/03/2018,shore vegetation height:  Agriculture,R,,NA,m,
Isenach up,27/03/2018,land use: Forest,L,,90,%,
Isenach up,27/03/2018,land use: Fallow,L,,NA,%,
Isenach up,27/03/2018,land use: Meadows & Pastures,L,,NA,%,
Isenach up,27/03/2018,land use: Agriculture,L,,NA,%,
Isenach up,27/03/2018,land use: Housing,L,,NA,%,
Isenach up,27/03/2018,land use: Other,L,,10,%,street
Isenach up,27/03/2018,land use: Forest,R,,100,%,
Isenach up,27/03/2018,land use: Fallow,R,,NA,%,
Isenach up,27/03/2018,land use: Meadows & Pastures,R,,NA,%,
Isenach up,27/03/2018,land use: Agriculture,R,,NA,%,
Isenach up,27/03/2018,land use: Housing,R,,NA,%,
Isenach up,27/03/2018,land use: Other,R,,NA,%,
Isenach up,27/03/2018,Shading Elements (southwards),,,85,%,
Isenach up,27/03/2018,Flooding of shore,,,no,,
Isenach up,27/03/2018,Islands/Banks,,,no,,
Isenach down,27/03/2018,distance housing,L,,750,m,
Isenach down,27/03/2018,distance housing,R,,NA,m,
Isenach down,27/03/2018,distance street,L,,200,m,
Isenach down,27/03/2018,distance street,R,,NA,m,
Isenach down,27/03/2018,height landscape-level,L,,1,m,
Isenach down,27/03/2018,height landscape-level,R,,1,m,
Isenach down,27/03/2018,distance landscape-level,L,,0.5,m,
Isenach down,27/03/2018,distance landscape-level,R,,0.1,m,
Isenach down,27/03/2018,Distance field,L,,15,m,
Isenach down,27/03/2018,Distance field,R,,10,m,
Isenach down,27/03/2018,curvature,,,6,,
Isenach down,27/03/2018,Banks,,,no,,
Isenach down,27/03/2018,shore vegetation cover: Forest,L,,NA,%,
Isenach down,27/03/2018,shore vegetation cover: Reed,L,,NA,%,
Isenach down,27/03/2018,shore vegetation cover: Shrubbery,L,,NA,%,
Isenach down,27/03/2018,shore vegetation cover: Tall Forbs,L,,NA,%,
Isenach down,27/03/2018,shore vegetation cover: Meadow,L,,100,%,
Isenach down,27/03/2018,shore vegetation cover:  Vegetation Free,L,,NA,%,
Isenach down,27/03/2018,shore vegetation cover:  Agriculture,L,,NA,%,
Isenach down,27/03/2018,shore vegetation height: Forest,L,,NA,m,
Isenach down,27/03/2018,shore vegetation height: Reed,L,,NA,m,
Isenach down,27/03/2018,shore vegetation height: Shrubbery,L,,NA,m,
Isenach down,27/03/2018,shore vegetation height: Tall Forbs,L,,NA,m,
Isenach down,27/03/2018,shore vegetation height:  Meadow,L,,0.1,m,
Isenach down,27/03/2018,shore vegetation height:  Agriculture,L,,NA,m,
Isenach down,27/03/2018,shore vegetation cover: Forest,R,,50,%,
Isenach down,27/03/2018,shore vegetation cover: Reed,R,,50,%,
Isenach down,27/03/2018,shore vegetation cover: Shrubbery,R,,NA,%,
Isenach down,27/03/2018,shore vegetation cover: Tall Forbs,R,,NA,%,
Isenach down,27/03/2018,shore vegetation cover: Meadow,R,,NA,%,
Isenach down,27/03/2018,shore vegetation cover:  Vegetation Free,R,,NA,%,
Isenach down,27/03/2018,shore vegetation cover:  Agriculture,R,,NA,%,
Isenach down,27/03/2018,shore vegetation height: Forest,R,,20,m,???
Isenach down,27/03/2018,shore vegetation height: Reed,R,,1.2,m,
Isenach down,27/03/2018,shore vegetation height: Shrubbery,R,,NA,m,
Isenach down,27/03/2018,shore vegetation height: Tall Forbs,R,,NA,m,
Isenach down,27/03/2018,shore vegetation height:  Meadow,R,,NA,m,
Isenach down,27/03/2018,shore vegetation height:  Agriculture,R,,NA,m,
Isenach down,27/03/2018,land use: Forest,L,,NA,%,
Isenach down,27/03/2018,land use: Fallow,L,,NA,%,
Isenach down,27/03/2018,land use: Meadows & Pastures,L,,10,%,
Isenach down,27/03/2018,land use: Agriculture,L,,90,%,
Isenach down,27/03/2018,land use: Housing,L,,NA,%,
Isenach down,27/03/2018,land use: Other,L,,NA,%,
Isenach down,27/03/2018,land use: Forest,R,,NA,%,
Isenach down,27/03/2018,land use: Fallow,R,,NA,%,
Isenach down,27/03/2018,land use: Meadows & Pastures,R,,50,%,
Isenach down,27/03/2018,land use: Agriculture,R,,NA,%,
Isenach down,27/03/2018,land use: Housing,R,,NA,%,
Isenach down,27/03/2018,land use: Other,R,,50,%,reed
Isenach down,27/03/2018,Shading Elements (southwards),,,40,%,
Isenach down,27/03/2018,Flooding of shore,,,no,,
Isenach down,27/03/2018,Islands/Banks,,,no,,
Kropsbach up,27/03/2018,distance housing,L,,450,m,
Kropsbach up,27/03/2018,distance housing,R,,NA,m,
Kropsbach up,27/03/2018,distance street,L,,20,m,
Kropsbach up,27/03/2018,distance street,R,,NA,m,
Kropsbach up,27/03/2018,height landscape-level,L,,10,m,
Kropsbach up,27/03/2018,height landscape-level,R,,2.5,m,
Kropsbach up,27/03/2018,distance landscape-level,L,,20,m,
Kropsbach up,27/03/2018,distance landscape-level,R,,4,m,
Kropsbach up,27/03/2018,Distance field,L,,NA,m,
Kropsbach up,27/03/2018,Distance field,R,,NA,m,
Kropsbach up,27/03/2018,curvature,,,4,,
Kropsbach up,27/03/2018,Banks,,,two,,Uferbänke
Kropsbach up,27/03/2018,shore vegetation cover: Forest,L,,100,%,
Kropsbach up,27/03/2018,shore vegetation cover: Reed,L,,NA,%,
Kropsbach up,27/03/2018,shore vegetation cover: Shrubbery,L,,NA,%,
Kropsbach up,27/03/2018,shore vegetation cover: Tall Forbs,L,,NA,%,
Kropsbach up,27/03/2018,shore vegetation cover: Meadow,L,,NA,%,
Kropsbach up,27/03/2018,shore vegetation cover:  Vegetation Free,L,,NA,%,
Kropsbach up,27/03/2018,shore vegetation cover:  Agriculture,L,,NA,%,
Kropsbach up,27/03/2018,shore vegetation height: Forest,L,,20,m,
Kropsbach up,27/03/2018,shore vegetation height: Reed,L,,NA,m,
Kropsbach up,27/03/2018,shore vegetation height: Shrubbery,L,,NA,m,
Kropsbach up,27/03/2018,shore vegetation height: Tall Forbs,L,,NA,m,
Kropsbach up,27/03/2018,shore vegetation height:  Meadow,L,,NA,m,
Kropsbach up,27/03/2018,shore vegetation height:  Agriculture,L,,NA,m,
Kropsbach up,27/03/2018,shore vegetation cover: Forest,R,,70,%,
Kropsbach up,27/03/2018,shore vegetation cover: Reed,R,,NA,%,
Kropsbach up,27/03/2018,shore vegetation cover: Shrubbery,R,,NA,%,
Kropsbach up,27/03/2018,shore vegetation cover: Tall Forbs,R,,NA,%,
Kropsbach up,27/03/2018,shore vegetation cover: Meadow,R,,NA,%,
